feature,importance
attr,0.08681386678726688
attr_o,0.06292639598780729
fun,0.06236710528900592
fun_o,0.04778934168056407
shar,0.046105291697433645
avg_rating_given,0.0423971561746787
avg_rating_received,0.039909684826815006
shar_o,0.0386951856231736
preference_match_score,0.029582813883321613
attr_diff,0.028918942542476542
intel,0.022430166314397263
fun_diff,0.02179077926636939
sinc,0.01689609361680434
shar_diff,0.015601673544499981
intel_o,0.015549201056678745
amb,0.013969051026959424
rating_asymmetry,0.013446391649802533
amb_o,0.013187628251591138
sinc_o,0.012864894843611654
pf_o_int,0.012129547593646983
sinc_diff,0.01187408819084682
age_diff,0.011772123700259405
pf_o_fun,0.011765011688284262
pf_o_amb,0.01150527263469791
amb_diff,0.011225142575240397
pf_o_att,0.011063714323809624
pf_o_sha,0.011024389361219376
race_o,0.010784775755012507
intel_diff,0.010683178356467976
age,0.010385253326670967
age_o,0.010374539730848956
tv,0.01027673525218171
pf_o_sin,0.009998371843074122
exercise,0.009890700336205625
shopping,0.009613367874496731
hiking,0.009522101188543278
gaming,0.009359955447885777
sports,0.009247685806167458
reading,0.009217623049062028
exphappy,0.00908705614658427
clubbing,0.009021593254157974
tvsports,0.008985928305221356
movies,0.00874266744117973
art,0.008519053809925955
dining,0.008485499303494393
concerts,0.00837649468079663
date,0.008346716539351233
music,0.008327828628746555
yoga,0.008196188218736205
go_out,0.008162454941208552
theater,0.007880965140041107
museums,0.00787913148373413
goal,0.007594298637853346
race_o_4.0,0.006664006990926071
race_o_2.0,0.004847523753872758
race_2.0,0.004309527040031916
samerace,0.004279265277786562
expnum,0.004093572598300918
race_4.0,0.0033270107298343492
gender,0.0030792204046389366
race_o_3.0,0.0026384739895360934
race_o_6.0,0.0015957935962838262
race_o_1.0,0.0012847655111792547
race_3.0,0.0011268380636773796
race_6.0,0.001012568453537517
race_1.0,0.0007303485100231745
race_0.0,0.00022585141287926079
race_o_0.0,0.00022411503858083207
